,Value,Device,Package,Description,DIGIKEY,MOUSER,RICHARDSON_RFPD
A1,FRACTUS-2.4GHZ-FR05-S1-N-0-102,FRACTUS-2.4GHZ-FR05-S1-N-0-102,FRACTUS-ANTENNA-FR05-S1-N-0-102,"Fractus Compact Reach XtendTM chip antenna is engineered specifically for Bluetooth,",,,FR05-S1-N-0102B
B1,BAL-NRF01D3,BAL-NRF01D3,BAL-NRF01D3,"50 ohm nominal input / conjugate match balun to nRF51422-QFAA,",497-13637-1-ND,511-BAL-NRF01D3,
C1,0.8pF,CAPACITOR,0402_CAP,0402 Capacitor,490-7277-1-ND,,
C2,12pF,CAPACITOR,0402_CAP,0402 Capacitor,490-5924-1-ND,,
C3,12pF,CAPACITOR,0402_CAP,0402 Capacitor,491-5924-1-ND,,
C4,12pF,CAPACITOR,0402_CAP,0402 Capacitor,492-5924-1-ND,,
C5,12pF,CAPACITOR,0402_CAP,0402 Capacitor,493-5924-1-ND,,
C6,1nF,CAPACITOR,0402_CAP,0402 Capacitor,490-1303-1-ND ,,
C7,1nF,CAPACITOR,0402_CAP,0402 Capacitor,491-1303-1-ND ,,
C8,2.2nF,CAPACITOR,0402_CAP,0402 Capacitor,490-1459-1-ND,,
C9,10nF,CAPACITOR,0402_CAP,0402 Capacitor,490-1312-1-ND,,
C10,10nF,CAPACITOR,0402_CAP,0402 Capacitor,491-1312-1-ND,,
C11,47nF,CAPACITOR,0402_CAP,0402 Capacitor,490-3254-1-ND,,
C12,0.1uF,CAPACITOR,0402_CAP,0402 Capacitor,490-1318-1-ND ,,
C13,0.1uF,CAPACITOR,0402_CAP,0402 Capacitor,491-1318-1-ND ,,
C14,0.1uF,CAPACITOR,0402_CAP,0402 Capacitor,492-1318-1-ND ,,
C15,0.1uF,CAPACITOR,0402_CAP,0402 Capacitor,493-1318-1-ND ,,
C16,0.1uF,CAPACITOR,0402_CAP,0402 Capacitor,494-1318-1-ND ,,
C17,0.47uF,CAPACITOR,0402_CAP,0402 Capacitor,490-3266-1-ND,,
C18,1uF,CAPACITOR,0402_CAP,0402 Capacitor,490-1320-1-ND ,,
C19,1uF,CAPACITOR,0402_CAP,0402 Capacitor,491-1320-1-ND ,,
C20,4.7uF,CAPACITOR,0402_CAP,0402 Capacitor,490-5915-1-ND ,,
C21,4.7uF,CAPACITOR,0402_CAP,0402 Capacitor,491-5915-1-ND ,,
D1,BLUE,LED1206,LED-1206,LEDs Right Angle,1516-1072-1-ND,,
D2,BLUE,LED1206,LED-1206,LEDs Right Angle,1517-1072-1-ND,,
D3,BLUE,LED1206,LED-1206,LEDs Right Angle,1518-1072-1-ND,,
J1,MOLEX_MICRO_USB_B_047346,MOLEX_MICRO_USB_B_047346,USB_MICRO_B-MOLEX-047346,Very tiny smd micro USB receptacle.,WM17141CT-ND,,
J2,TC2030-JLINK-NL,TC2030-JLINK-NL,TC2030-IDC-NL,,,,
J3,,M02PTH,1X02,Header 2,,,
L1,15nH,INDUCTOR0402,0402_CAP,,587-1521-1-ND,,
L2,10uH,INDUCTOR0603,0603_CAP,,490-4025-1-ND,,
LOGO1,UMICH_SOLID_TINY,UMICH_SOLID_TINY,UMICH_SOLID_50MIL,,,,
Q1,MOSFET-NCHANNELXFDN-3,MOSFET-NCHANNELXFDN-3,XFDFN-3,Generic NMOS footprint,DMN2400UFB4-7DICT-ND,,
Q2,MOSFET-NCHANNELXFDN-3,MOSFET-NCHANNELXFDN-3,XFDFN-3,Generic NMOS footprint,DMN2400UFB4-7DICT-ND,,
Q3,MOSFET-NCHANNELXFDN-3,MOSFET-NCHANNELXFDN-3,XFDFN-3,Generic NMOS footprint,DMN2400UFB4-7DICT-ND,,
R1,0Ω,RESISTOR0402_RES,0402_RES,Resistor,P0.0JCT-ND,,
R2,75Ω,RESISTOR0402_RES,0402_RES,Resistor,P75.0LCT-ND,,
R3,75Ω,RESISTOR0402_RES,0402_RES,Resistor,P75.0LCT-ND,,
R4,75Ω,RESISTOR0402_RES,0402_RES,Resistor,P75.0LCT-ND,,
R5,150Ω,RESISTOR0402_RES,0402_RES,Resistor,P150LCT-ND ,,
R6,5.23kΩ,RESISTOR0402_RES,0402_RES,Resistor,P5.23KLCT-ND,,
R7,10kΩ,RESISTOR0402_RES,0402_RES,Resistor,P10.0KLCT-ND,,
R8,10kΩ,RESISTOR0402_RES,0402_RES,Resistor,P10.0KLCT-ND,,
R9,12kΩ,RESISTOR0402_RES,0402_RES,Resistor,P12.0KLCT-ND,,
R10,20kΩ,RESISTOR0402_RES,0402_RES,Resistor,P20.0KLCT-ND,,
R11,715kΩ,RESISTOR0402_RES,0402_RES,Resistor,P715KLCT-ND,,
R12,1MΩ,RESISTOR0402_RES,0402_RES,Resistor,P1.00MLCT-ND,,
R13,2MΩ,RESISTOR0402_RES,0402_RES,Resistor,541-2.00MLCT-ND,,
R14,10MΩ,RESISTOR0402_RES,0402_RES,Resistor,541-10.0MLCT-ND,,
R15,30MΩ,RESISTOR0402_RES,0402_RES,Resistor,RHM30MBCT-ND,,
S1,B3U-1000P,B3U-1000P,B3U-1000P,Switch,SW1020CT-ND,,
U1,NRF51822QF,NRF51822QF,QFN-48-6MM,Multiprotocol Bluetooth® 4.0 low energy/2.4 GHz RF SoC,1490-1032-1-ND,949-NRF51822-QFAB-R7,
U2,LTC4065,LTC4065,DFN-6/2MM,LION/LIPO Battery Charging IC Low current,LTC4065LEDC#TRMPBFCT-ND,,
U3,,LMP91000,WFDFN-14,IC TI AFE for Gas Sensing,LMP91000SDE/NOPBCT-ND,,
U4,TPS715AXX,TPS715AXX,WDFN-6,80ma LDO Regulator. Very low quiescent current. Always active.,296-22584-1-ND,,
U5,LPS25H,LPS25H,LPS25H,ST-Micro Piezoresistive pressure sensor,497-14380-1-ND,,
U6,1.8V,ISL60002,ISL60002,Low Power Voltage Reference SOT23-3,ISL60002BIH318Z-TKCT-ND ,,
U7,SPECSENSOR,SPECSENSOR,SPEC2,,,,
X1,16MHz,TXC-8Y,TXC-8Y,2mmx1.6mm SMD Crystal,887-2003-1-ND,,
X2,ABS05-32.768KHZ-9-T,ABS05-32.768KHZ-9-T,ABS05,32.768kHz Crystal,535-11897-1-ND,,
